"path","reference_count","sources","size_kb"
"images/ch2/hinh-2-38.png","2","chapters/ch2/muc-VII-2.html; js/pages.js","175.07"
"images/ch2/hinh-2-39.png","2","chapters/ch2/muc-VII-2.html; js/pages.js","236.13"
"images/ch2/hinh-2-minh-hoa-01.png","2","chapters/ch2/muc-I-1.html; js/pages.js","56.43"
"images/ch2/hinh-2-minh-hoa-02.png","2","chapters/ch2/muc-I-1.html; js/pages.js","138.46"
"images/ch2/hinh-2-minh-hoa-03.png","2","chapters/ch2/muc-I-1.html; js/pages.js","24.54"
"images/ch2/hinh-2-minh-hoa-04.png","2","chapters/ch2/muc-II-2.html; js/pages.js","103.32"
"images/ch2/hinh-2-minh-hoa-05.png","2","chapters/ch2/muc-III-1.html; js/pages.js","236.42"
"images/ch2/hinh-2-minh-hoa-06.png","2","chapters/ch2/muc-IV-4.html; js/pages.js","43.18"
"images/ch2/hinh-2-minh-hoa-07.png","2","chapters/ch2/muc-IV-4.html; js/pages.js","71.78"
"images/ch2/hinh-2-minh-hoa-08.png","2","chapters/ch2/muc-V-3.html; js/pages.js","80.26"
"images/ch2/hinh-2-minh-hoa-09.png","2","chapters/ch2/muc-VII-1.html; js/pages.js","14.81"
"images/ch2/hinh-2-minh-hoa-10.png","2","chapters/ch2/muc-VII-1.html; js/pages.js","17.06"
"images/ch3/hinh-3-01.png","2","chapters/ch3/muc-II-2.html; js/pages.js","119.2"
"images/ch3/hinh-3-03.png","2","chapters/ch3/muc-IV-1.html; js/pages.js","6.85"
"images/ch3/hinh-3-04.png","2","chapters/ch3/muc-IV-1.html; js/pages.js","198.41"
"images/ch3/hinh-3-05.png","2","chapters/ch3/muc-V-2.html; js/pages.js","15.67"
"images/ch3/hinh-3-06.png","2","chapters/ch3/muc-V-2.html; js/pages.js","314.17"
"images/ch3/hinh-3-07.png","2","chapters/ch3/muc-V-3.html; js/pages.js","27.77"
"images/ch3/hinh-3-08.png","2","chapters/ch3/muc-V-3.html; js/pages.js","120.26"
"images/ch3/hinh-3-09.png","2","chapters/ch3/muc-V-3.html; js/pages.js","168.56"
"images/ch3/hinh-3-10.png","2","chapters/ch3/muc-VI-1.html; js/pages.js","283.64"
"images/ch3/hinh-3-11.png","2","chapters/ch3/muc-VI-3.html; js/pages.js","364.67"
"images/ch3/hinh-3-12.png","2","chapters/ch3/muc-VI-3.html; js/pages.js","165.48"
"images/ch3/hinh-3-13.png","2","chapters/ch3/muc-VI-3.html; js/pages.js","96.41"
"images/ch3/hinh-3-14.png","2","chapters/ch3/muc-VI-3.html; js/pages.js","282.44"
"images/ch3/hinh-3-15a.png","2","chapters/ch3/muc-VI-3.html; js/pages.js","180.01"
"images/ch3/hinh-3-15b.png","2","chapters/ch3/muc-VI-3.html; js/pages.js","651.69"
"images/ch3/hinh-3-16.png","2","chapters/ch3/muc-VI-3.html; js/pages.js","242.65"
"images/ch3/hinh-3-17.png","2","chapters/ch3/muc-VII-1.html; js/pages.js","111.3"
"images/ch3/hinh-3-18.png","2","chapters/ch3/muc-VII-1.html; js/pages.js","316.15"
"images/ch3/hinh-3-19.png","2","chapters/ch3/muc-VII-1.html; js/pages.js","313.66"
"images/ch3/hinh-3-20.png","2","chapters/ch3/muc-VII-1.html; js/pages.js","93.91"
"images/ch3/hinh-3-21.png","2","chapters/ch3/muc-VII-1.html; js/pages.js","103.61"
"images/ch3/hinh-3-22.png","2","chapters/ch3/muc-VII-1.html; js/pages.js","348.02"
"images/ch3/hinh-3-23.png","2","chapters/ch3/muc-VII-2.html; js/pages.js","203.1"
"images/ch3/hinh-3-24.png","2","chapters/ch3/muc-VII-2.html; js/pages.js","215.43"
"images/ch3/hinh-3-25.png","2","chapters/ch3/muc-VII-2.html; js/pages.js","236.82"
"images/ch3/hinh-3-minh-hoa-01.png","2","chapters/ch3/muc-IV-1.html; js/pages.js","88.77"
"images/ch3/hinh-3-minh-hoa-02.png","2","chapters/ch3/muc-V-4.html; js/pages.js","23.12"
"images/ch3/hinh-3-minh-hoa-03.png","2","chapters/ch3/muc-V-4.html; js/pages.js","16.4"
